label,pressure£¨bar£©,CH4,CO2,C2H6,C3H8,iC4,N2,H2S,nC4,Na(wt%),K(wt%),Ca(wt%),Mg(wt%),CL(wt%),NH4(wt%),temperature(K)
1,17.1,88.2,7.3,0,0,0,0,4.5,0,0,0,0,0,0,0,276.8
1,8.8,82.7,8.3,0,0,0,0,9,0,0,0,0,0,0,0,274.2
1,12.2,82.7,8.3,0,0,0,0,9,0,0,0,0,0,0,0,277.4
1,16.6,82.7,8.3,0,0,0,0,9,0,0,0,0,0,0,0,280.6
1,9.2,89.6,0,0,0,0,0,10.4,0,0,0,0,0,0,0,273.9
1,10.6,89.6,0,0,0,0,0,10.4,0,0,0,0,0,0,0,275.4
1,16.2,89.6,0,0,0,0,0,10.4,0,0,0,0,0,0,0,279.6
1,15.6,95.6,0,0,0,0,0,4.4,0,0,0,0,0,0,0,274.2
1,19.4,95.6,0,0,0,0,0,4.4,0,0,0,0,0,0,0,276.6
1,37.1,100,0,0,0,0,0,0,0,0,0,0,0,3.317757009,1.682242991,274.44
1,51.6,100,0,0,0,0,0,0,0,0,0,0,0,3.317757009,1.682242991,277.7
1,68.8,100,0,0,0,0,0,0,0,0,0,0,0,3.317757009,1.682242991,280.44
1,83.3,100,0,0,0,0,0,0,0,0,0,0,0,3.317757009,1.682242991,282.16
1,92.7,100,0,0,0,0,0,0,0,0,0,0,0,3.317757009,1.682242991,283.15
1,101.4,100,0,0,0,0,0,0,0,0,0,0,0,3.317757009,1.682242991,283.94
1,65.4,100,0,0,0,0,0,0,0,0,0,0,0,6.635514019,3.364485981,277.44
1,83.1,100,0,0,0,0,0,0,0,0,0,0,0,6.635514019,3.364485981,279.57
1,114.1,100,0,0,0,0,0,0,0,0,0,0,0,6.635514019,3.364485981,282.53
1,38.7,100,0,0,0,0,0,0,0,0,0,0,0,3.317757009,1.682242991,274.8
1,67.7,100,0,0,0,0,0,0,0,0,0,0,0,3.317757009,1.682242991,280.31
1,83.7,100,0,0,0,0,0,0,0,0,0,0,0,3.317757009,1.682242991,282.2
1,101.2,100,0,0,0,0,0,0,0,0,0,0,0,3.317757009,1.682242991,283.9
1,45.7,100,0,0,0,0,0,0,0,0,0,0,0,6.635514019,3.364485981,274.2
1,49.7,100,0,0,0,0,0,0,0,0,0,0,0,6.635514019,3.364485981,274.9
1,61.7,100,0,0,0,0,0,0,0,0,0,0,0,6.635514019,3.364485981,276.9
1,78.7,100,0,0,0,0,0,0,0,0,0,0,0,6.635514019,3.364485981,279.1
1,95.7,100,0,0,0,0,0,0,0,0,0,0,0,6.635514019,3.364485981,280.8
1,113.7,100,0,0,0,0,0,0,0,0,0,0,0,6.635514019,3.364485981,282.31
1,66.6,100,0,0,0,0,0,0,0,2.13880128,0,0,0,3.301196581,0,280.07
1,89.1,100,0,0,0,0,0,0,0,2.13880128,0,0,0,3.301196581,0,282.61
1,105.7,100,0,0,0,0,0,0,0,2.13880128,0,0,0,3.301196581,0,284.173
1,68.9,100,0,0,0,0,0,0,0,4.25794446,0,0,0,6.572051282,0,277.8
1,109.9,100,0,0,0,0,0,0,0,4.25794446,0,0,0,6.572051282,0,281.53
1,39.7,100,0,0,0,0,0,0,0,2.13880128,0,0,0,3.301196581,0,275.09
1,53.9,100,0,0,0,0,0,0,0,2.13880128,0,0,0,3.301196581,0,278.2
1,68.2,100,0,0,0,0,0,0,0,2.13880128,0,0,0,3.301196581,0,280.3
1,84.7,100,0,0,0,0,0,0,0,2.13880128,0,0,0,3.301196581,0,282.21
1,100.2,100,0,0,0,0,0,0,0,2.13880128,0,0,0,3.301196581,0,283.73
1,49.2,100,0,0,0,0,0,0,0,4.25794446,0,0,0,6.572051282,0,274.69
1,63.2,100,0,0,0,0,0,0,0,4.25794446,0,0,0,6.572051282,0,277
1,79.2,100,0,0,0,0,0,0,0,4.25794446,0,0,0,6.572051282,0,279
1,95.7,100,0,0,0,0,0,0,0,4.25794446,0,0,0,6.572051282,0,280.6
1,114.2,100,0,0,0,0,0,0,0,4.25794446,0,0,0,6.572051282,0,282.02
1,66.9,100,0,0,0,0,0,0,0,0,3.5754367,0,0,3.254563758,0,280.22
1,103.7,100,0,0,0,0,0,0,0,0,3.5754367,0,0,3.254563758,0,284.19
1,71.1,100,0,0,0,0,0,0,0,0,7.0200009,0,0,6.39,0,278.01
1,40.2,100,0,0,0,0,0,0,0,0,3.5754367,0,0,3.254563758,0,275.49
1,54.7,100,0,0,0,0,0,0,0,0,3.5754367,0,0,3.254563758,0,278.5
1,69.7,100,0,0,0,0,0,0,0,0,3.5754367,0,0,3.254563758,0,280.61
1,86.2,100,0,0,0,0,0,0,0,0,3.5754367,0,0,3.254563758,0,282.51
1,103.2,100,0,0,0,0,0,0,0,0,3.5754367,0,0,3.254563758,0,284.1
1,50.2,100,0,0,0,0,0,0,0,0,7.0200009,0,0,6.39,0,275.094
1,62.7,100,0,0,0,0,0,0,0,0,7.0200009,0,0,6.39,0,277.1
1,79.7,100,0,0,0,0,0,0,0,0,7.0200009,0,0,6.39,0,279.21
1,96.7,100,0,0,0,0,0,0,0,0,7.0200009,0,0,6.39,0,280.91
1,113.7,100,0,0,0,0,0,0,0,0,7.0200009,0,0,6.39,0,282.3
1,49.38,89.26,0,0,0,0,10.74,0,0,0,0,0,0,0,0,287.7
1,103.99,89.26,0,0,0,0,10.74,0,0,0,0,0,0,0,0,285.64
1,149.76,89.26,0,0,0,0,10.74,0,0,0,0,0,0,0,0,288.68
1,200.23,89.26,0,0,0,0,10.74,0,0,0,0,0,0,0,0,290.97
1,244.28,89.26,0,0,0,0,10.74,0,0,0,0,0,0,0,0,292.44
1,22.54,90.47,0,9.53,0,0,0,0,0,0,0,0,0,0,0,278.21
1,26.28,90.47,0,9.53,0,0,0,0,0,0,0,0,0,0,0,279.6
1,72.08,90.47,0,9.53,0,0,0,0,0,0,0,0,0,0,0,288.12
1,99.92,90.47,0,9.53,0,0,0,0,0,0,0,0,0,0,0,290.44
1,148.49,90.47,0,9.53,0,0,0,0,0,0,0,0,0,0,0,292.87
1,198.91,90.47,0,9.53,0,0,0,0,0,0,0,0,0,0,0,294.63
1,231.98,90.47,0,9.53,0,0,0,0,0,0,0,0,0,0,0,295.52
1,14.16,97.07,0,0,2.93,0,0,0,0,0,0,0,0,0,0,278.09
1,26.4,97.07,0,0,2.93,0,0,0,0,0,0,0,0,0,0,283.52
1,50.8,97.07,0,0,2.93,0,0,0,0,0,0,0,0,0,0,288.8
1,91.96,97.07,0,0,2.93,0,0,0,0,0,0,0,0,0,0,292.87
1,149.66,97.07,0,0,2.93,0,0,0,0,0,0,0,0,0,0,295.33
1,198.14,97.07,0,0,2.93,0,0,0,0,0,0,0,0,0,0,296.59
1,243.63,97.07,0,0,2.93,0,0,0,0,0,0,0,0,0,0,297.53
1,34.54,94.97,5,0,0,0,0.03,0,0,0,0,0,0,0,0,276.85
1,48.68,94.97,5,0,0,0,0.03,0,0,0,0,0,0,0,0,279.95
1,70.35,94.97,5,0,0,0,0.03,0,0,0,0,0,0,0,0,283.49
1,168.27,94.97,5,0,0,0,0.03,0,0,0,0,0,0,0,0,290.76
1,239.79,94.97,5,0,0,0,0.03,0,0,0,0,0,0,0,0,293.41
1,8.25,0,0,85.15,14.85,0,0,0,0,0,0,0,0,0,0,276.66
1,10.89,0,0,85.15,14.85,0,0,0,0,0,0,0,0,0,0,278.92
1,15.13,0,0,85.15,14.85,0,0,0,0,0,0,0,0,0,0,281.49
1,11.15,0,0,85.15,14.85,0,0,0,0,0,0,0,0,0,0,279.11
1,14.95,0,0,85.15,14.85,0,0,0,0,0,0,0,0,0,0,281.38
1,25.75,90.93,0,4.89,0,0,4.18,0,0,0,0,0,0,0,0,277.36
1,30.83,90.93,0,4.89,0,0,4.18,0,0,0,0,0,0,0,0,280.91
1,60.96,90.93,0,4.89,0,0,4.18,0,0,0,0,0,0,0,0,284.9
1,138.06,90.93,0,4.89,0,0,4.18,0,0,0,0,0,0,0,0,290.93
1,188.2,90.93,0,4.89,0,0,4.18,0,0,0,0,0,0,0,0,292.82
1,238.33,90.93,0,4.89,0,0,4.18,0,0,0,0,0,0,0,0,294.23
1,11.98,84.52,0,12.55,2.93,0,0,0,0,0,0,0,0,0,0,277.1
1,19.82,84.52,0,12.55,2.93,0,0,0,0,0,0,0,0,0,0,281.56
1,39.99,84.52,0,12.55,2.93,0,0,0,0,0,0,0,0,0,0,287.42
1,69.24,84.52,0,12.55,2.93,0,0,0,0,0,0,0,0,0,0,291.52
1,112.07,84.52,0,12.55,2.93,0,0,0,0,0,0,0,0,0,0,294.32
1,170.34,84.52,0,12.55,2.93,0,0,0,0,0,0,0,0,0,0,296.14
1,21.56,95.02,0,3.98,1,0,0,0,0,0,0,0,0,0,0,279.1
1,39.89,95.02,0,3.98,1,0,0,0,0,0,0,0,0,0,0,284.3
1,69.55,95.02,0,3.98,1,0,0,0,0,0,0,0,0,0,0,288.56
1,109.4,95.02,0,3.98,1,0,0,0,0,0,0,0,0,0,0,291.6
1,173.65,95.02,0,3.98,1,0,0,0,0,0,0,0,0,0,0,294.04
1,211.45,95.02,0,3.98,1,0,0,0,0,0,0,0,0,0,0,295.76
1,16.93,89.4,8.09,0,2.49,0,0.02,0,0,0,0,0,0,0,0,279.19
